,chlor_a,Station,date,lat,lon,sst,Year,Month,Day
0,2.6908755,A,20180530,22.125,114.625,30.0,2018,5,30
1,1.3236834,B,20180530,22.125,114.875,30.17,2018,5,30
2,0.9934663,C,20180530,22.125,115.125,30.38,2018,5,30
3,4.4522443,D,20180530,22.375,114.625,28.83,2018,5,30
4,3.2088287,E,20180530,22.375,114.875,29.269999,2018,5,30
5,3.1825151,F,20180530,22.375,115.125,29.8,2018,5,30
6,2.404176,A,20180531,22.125,114.625,30.039999,2018,5,31
7,1.2567132,B,20180531,22.125,114.875,30.22,2018,5,31
8,0.96711344,C,20180531,22.125,115.125,30.4,2018,5,31
9,3.7456608,D,20180531,22.375,114.625,29.07,2018,5,31
10,2.742742,E,20180531,22.375,114.875,29.26,2018,5,31
11,2.72532,F,20180531,22.375,115.125,29.65,2018,5,31
12,2.4387822,A,20180601,22.125,114.625,29.98,2018,6,1
13,1.4431875,B,20180601,22.125,114.875,29.91,2018,6,1
14,1.1755675,C,20180601,22.125,115.125,29.92,2018,6,1
15,3.6691055,D,20180601,22.375,114.625,28.9,2018,6,1
16,2.9662995,E,20180601,22.375,114.875,28.88,2018,6,1
17,2.9601016,F,20180601,22.375,115.125,29.08,2018,6,1
18,2.4334047,A,20180602,22.125,114.625,29.34,2018,6,2
19,1.3857496,B,20180602,22.125,114.875,29.23,2018,6,2
20,1.1256689,C,20180602,22.125,115.125,29.15,2018,6,2
21,3.6082299,D,20180602,22.375,114.625,28.75,2018,6,2
22,2.854453,E,20180602,22.375,114.875,28.5,2018,6,2
23,2.888114,F,20180602,22.375,115.125,28.63,2018,6,2
24,2.6981382,A,20180603,22.125,114.625,29.3,2018,6,3
25,1.4458864,B,20180603,22.125,114.875,29.38,2018,6,3
26,1.1510814,C,20180603,22.125,115.125,29.439999,2018,6,3
27,4.0206304,D,20180603,22.375,114.625,29.15,2018,6,3
28,2.9280903,E,20180603,22.375,114.875,29.09,2018,6,3
29,2.9217331,F,20180603,22.375,115.125,29.24,2018,6,3
30,2.540506,A,20180604,22.125,114.625,29.33,2018,6,4
31,1.509086,B,20180604,22.125,114.875,29.4,2018,6,4
32,1.249362,C,20180604,22.125,115.125,29.46,2018,6,4
33,3.6056857,D,20180604,22.375,114.625,29.269999,2018,6,4
34,2.9565995,E,20180604,22.375,114.875,29.23,2018,6,4
35,3.0151527,F,20180604,22.375,115.125,29.349998,2018,6,4
36,2.2595477,A,20180605,22.125,114.625,29.55,2018,6,5
37,1.3395238,B,20180605,22.125,114.875,29.599998,2018,6,5
38,1.0589213,C,20180605,22.125,115.125,29.63,2018,6,5
39,3.3018663,D,20180605,22.375,114.625,29.49,2018,6,5
40,2.665154,E,20180605,22.375,114.875,29.46,2018,6,5
41,2.6887958,F,20180605,22.375,115.125,29.529999,2018,6,5
42,2.088132,A,20180606,22.125,114.625,29.75,2018,6,6
43,1.2532899,B,20180606,22.125,114.875,29.74,2018,6,6
44,0.9908315,C,20180606,22.125,115.125,29.71,2018,6,6
45,2.9843795,D,20180606,22.375,114.625,29.679998,2018,6,6
46,2.4567316,E,20180606,22.375,114.875,29.609999,2018,6,6
47,2.4851658,F,20180606,22.375,115.125,29.599998,2018,6,6
48,2.35478,A,20180607,22.125,114.625,28.46,2018,6,7
49,1.4539822,B,20180607,22.125,114.875,28.59,2018,6,7
50,1.1621418,C,20180607,22.125,115.125,28.539999,2018,6,7
51,3.4381585,D,20180607,22.375,114.625,28.5,2018,6,7
52,2.8042767,E,20180607,22.375,114.875,28.59,2018,6,7
53,2.832346,F,20180607,22.375,115.125,28.55,2018,6,7
54,1.9799923,A,20180608,22.125,114.625,28.269999,2018,6,8
55,1.2363348,B,20180608,22.125,114.875,28.48,2018,6,8
56,0.986961,C,20180608,22.125,115.125,28.449999,2018,6,8
57,2.8673356,D,20180608,22.375,114.625,28.349998,2018,6,8
58,2.3651278,E,20180608,22.375,114.875,28.439999,2018,6,8
59,2.3851478,F,20180608,22.375,115.125,28.43,2018,6,8
60,2.4598842,A,20180609,22.125,114.625,28.8,2018,6,9
61,1.4602782,B,20180609,22.125,114.875,28.76,2018,6,9
62,1.1288447,C,20180609,22.125,115.125,28.609999,2018,6,9
63,3.4671395,D,20180609,22.375,114.625,28.949999,2018,6,9
64,2.737617,E,20180609,22.375,114.875,28.93,2018,6,9
65,2.714996,F,20180609,22.375,115.125,28.849998,2018,6,9
66,1.7839348,A,20180610,22.125,114.625,29.109999,2018,6,10
67,1.1506407,B,20180610,22.125,114.875,29.08,2018,6,10
68,0.90227723,C,20180610,22.125,115.125,29.019999,2018,6,10
69,2.8138006,D,20180610,22.375,114.625,29.279999,2018,6,10
70,2.4143465,E,20180610,22.375,114.875,29.26,2018,6,10
71,2.579134,F,20180610,22.375,115.125,29.179998,2018,6,10
72,1.772461,A,20180611,22.125,114.625,29.33,2018,6,11
73,1.168696,B,20180611,22.125,114.875,29.26,2018,6,11
74,0.9603336,C,20180611,22.125,115.125,29.06,2018,6,11
75,3.043572,D,20180611,22.375,114.625,29.39,2018,6,11
76,2.7299392,E,20180611,22.375,114.875,29.31,2018,6,11
77,3.1185155,F,20180611,22.375,115.125,29.119999,2018,6,11
78,1.855186,A,20180612,22.125,114.625,29.34,2018,6,12
79,1.1726683,B,20180612,22.125,114.875,29.109999,2018,6,12
80,0.9576512,C,20180612,22.125,115.125,29.039999,2018,6,12
81,3.2232733,D,20180612,22.375,114.625,29.34,2018,6,12
82,2.8339207,E,20180612,22.375,114.875,29.09,2018,6,12
83,3.2261765,F,20180612,22.375,115.125,29.019999,2018,6,12
84,1.6212416,A,20180613,22.125,114.625,29.429998,2018,6,13
85,1.1049739,B,20180613,22.125,114.875,29.269999,2018,6,13
86,0.9108392,C,20180613,22.125,115.125,29.099998,2018,6,13
87,2.9203992,D,20180613,22.375,114.625,29.42,2018,6,13
88,2.730606,E,20180613,22.375,114.875,29.24,2018,6,13
89,3.1518095,F,20180613,22.375,115.125,29.06,2018,6,13
90,1.6684642,A,20180614,22.125,114.625,29.289999,2018,6,14
91,1.1424693,B,20180614,22.125,114.875,29.17,2018,6,14
92,0.95589584,C,20180614,22.125,115.125,28.72,2018,6,14
93,2.8356874,D,20180614,22.375,114.625,29.279999,2018,6,14
94,2.6918817,E,20180614,22.375,114.875,29.14,2018,6,14
95,3.2210937,F,20180614,22.375,115.125,28.67,2018,6,14
96,1.6160753,A,20180615,22.125,114.625,28.34,2018,6,15
97,1.0943354,B,20180615,22.125,114.875,28.349998,2018,6,15
98,0.89039165,C,20180615,22.125,115.125,28.099998,2018,6,15
99,2.9640703,D,20180615,22.375,114.625,28.25,2018,6,15
100,2.7385561,E,20180615,22.375,114.875,28.24,2018,6,15
101,3.156224,F,20180615,22.375,115.125,28.0,2018,6,15
102,1.7100881,A,20180616,22.125,114.625,28.31,2018,6,16
103,1.0939695,B,20180616,22.125,114.875,28.349998,2018,6,16
104,0.8239761,C,20180616,22.125,115.125,28.23,2018,6,16
105,3.7174785,D,20180616,22.375,114.625,28.17,2018,6,16
106,3.3856072,E,20180616,22.375,114.875,28.21,2018,6,16
107,3.8598664,F,20180616,22.375,115.125,28.08,2018,6,16
108,1.6908026,A,20180617,22.125,114.625,28.199999,2018,6,17
109,1.0690653,B,20180617,22.125,114.875,28.3,2018,6,17
110,0.7989003,C,20180617,22.125,115.125,28.25,2018,6,17
111,2.9847066,D,20180617,22.375,114.625,28.16,2018,6,17
112,2.7847624,E,20180617,22.375,114.875,28.21,2018,6,17
113,3.47751,F,20180617,22.375,115.125,28.099998,2018,6,17
114,1.7955225,A,20180618,22.125,114.625,28.099998,2018,6,18
115,1.0904248,B,20180618,22.125,114.875,28.16,2018,6,18
116,0.81628823,C,20180618,22.125,115.125,28.199999,2018,6,18
117,3.248729,D,20180618,22.375,114.625,28.099998,2018,6,18
118,3.0674052,E,20180618,22.375,114.875,28.09,2018,6,18
119,3.858587,F,20180618,22.375,115.125,28.109999,2018,6,18
120,1.8494625,A,20180619,22.125,114.625,28.08,2018,6,19
121,1.111825,B,20180619,22.125,114.875,28.14,2018,6,19
122,0.8501113,C,20180619,22.125,115.125,28.17,2018,6,19
123,3.2335355,D,20180619,22.375,114.625,28.109999,2018,6,19
124,3.0799189,E,20180619,22.375,114.875,28.13,2018,6,19
125,3.7556212,F,20180619,22.375,115.125,28.14,2018,6,19
126,1.8498038,A,20180620,22.125,114.625,28.43,2018,6,20
