Stations,longitude (E),latitude (N),Distance from thermal outlet,Fluorescence,Turbidity,Oxygen,Salinity,Temperature,SiO32-,PO43-,NO2-,NH4+,NO3-,DIN,N/P,Si/P,Si/N,DOP,DON,Chl-a,DIC,Temperature2,TChla,pH
M24-2,114.7289833,22.48386667,22046.57,0.584,3.358,16.59456,33.9615,23.3412,7.377948437,0.148387097,0.071428571,1.071428571,0.285714286,1.428571429,9.627329193,49.72095686,5.164563906,0.390322581,1.671428571,623.0231679,2021.03,23.624,623.023168,8.29
T24,114.6462,22.53678333,11755.07084,0.3602,1.184,66.9839,33.7657,23.7513,7.191442677,0.125806452,0.042857143,1.057142857,0.285714286,1.385714286,11.01465201,57.16274948,5.189700901,0.448387097,2.335714286,#N/A,2021.322078,24.226,554.63985,NA
D3-3,114.6049333,22.5685,6250.83,0.702,0.421,48.45249,33.6782,23.7851,6.469555677,0.080645161,0.021428571,0.978571429,0.571428571,1.571428571,19.48571429,80.2224904,4.116989977,0.538709677,7.75,959.1892714,2021.58,24.211,959.189271,8.15
D3-4,114.6150667,22.55105,8373.62,0.538,0.568,45.90151,33.639,23.9331,8.073505211,0.1,0.05,0.842857143,0.214285714,1.107142857,11.07142857,80.73505211,7.292198255,0.370967742,6.307142857,899.77905,2027.36,24.441,899.77905,8.16
T24-2,114.7491833,22.42906667,27685.94334,0.61538,2.381,120.16708,33.9612,23.9357,6.73834339,0.1,0.035714286,0.821428571,0.714285714,1.571428571,15.71428571,67.3834339,4.288036703,0.75483871,4.057142857,#N/A,2012.357416,24.443,617.750743,8.16
M24,114.6750333,22.55526667,13059.58,1.07,1.697,-0.68404,33.5064,23.9428,10.45858475,0.116129032,0.107142857,1.078571429,0.642857143,1.828571429,15.74603175,90.06003535,5.719538535,0.503225806,13.32142857,1204.338118,2035.94,24.192,1204.338118,8.12
D1-4,114.6524333,22.608,9376.44,0.862,0.611,59.73233,33.5512,23.9773,8.515633571,0.096774194,0.042857143,0.914285714,0.357142857,1.314285714,13.58095238,87.99488023,6.479286413,0.590322581,11,997.6370464,2025.84,24.559,997.637046,8.14
D2-4,114.6332833,22.59103333,7633.75,1.01,0.806,65.01418,33.5251,24.054,8.365331871,0.1,0.057142857,1.114285714,0.642857143,1.814285714,18.14285714,83.65331871,4.610812842,0.341935484,7.557142857,815.9223857,2028.68,24.561,815.922386,8.13
D2-5,114.67525,22.55535,13075.4,1.13,0.488,61.38416,33.6848,24.0708,8.235874931,0.122580645,0.071428571,1.364285714,0.428571429,1.864285714,15.20864662,67.18740076,4.417710691,0.396774194,6.785714286,1299.382779,2024.91,24.229,1299.382779,8.16
D3-5,114.62995,22.5486,9637.24,0.387,0.531,20.38297,33.6708,24.0728,7.877125617,0.116129032,0.05,0.942857143,0.285714286,1.278571429,11.00992063,67.83080393,6.160880371,0.493548387,8.285714286,890.9813571,2025.76,24.363,890.981357,8.13
D4-5,114.5888667,22.55335,6663.52,0.784,0.733,57.04863,33.5863,24.0836,7.938562809,0.122580645,0.064285714,2.614285714,0.571428571,3.25,26.51315789,64.76195975,2.44263471,18.42258065,8.835714286,941.814,2031.5,24.342,941.814,8.16
D1-3,114.6339,22.6181,7565.96,1.33,0.702,64.76933,33.3026,24.4711,10.02413604,0.093548387,0.071428571,1.071428571,0.5,1.642857143,17.56157635,107.1545577,6.101648024,0.441935484,18,1344.334243,2028.62,24.703,1344.334243,8.1
D4-4,114.57475,22.56278333,5167.64,1.06,0.36,42.35235,33.4539,24.5002,7.537026879,0.083870968,0.028571429,0.807142857,0.285714286,1.121428571,13.37087912,89.86455125,6.720915688,2.683870968,10.66428571,1690.374536,2022.06,24.863,1690.374536,8.14
D2-3,114.6174333,22.60136667,5823.76,1.12,0.592,59.39821,33.4174,24.6426,8.362040592,0.1,0.042857143,1.135714286,0.357142857,1.535714286,15.35714286,83.62040592,5.445049688,0.316129032,7.964285714,1122.476239,2030.25,25.131,1122.476239,8.1
D1-2,114.6191667,22.62645,6322.37,1.92,0.696,66.81013,33.2247,24.7611,9.532638508,0.070967742,0.042857143,0.828571429,0.285714286,1.157142857,16.30519481,134.3235426,8.238082661,0.451612903,4.835714286,2189.046889,2021.2,24.938,2189.046889,8.11
D4-3,114.5628333,22.574,3730.86,0.915,0.366,13.33546,33.4275,24.9157,7.790455293,0.074193548,0.028571429,0.707142857,0.214285714,0.95,12.80434783,105.0017887,8.200479256,0.322580645,8.642857143,1070.7597,2023.74,25.102,1070.7597,8.09
D3-2,114.5911667,22.5801,4338.55,1.64,0.385,46.29305,33.3337,24.9999,7.962698848,0.087096774,0.035714286,0.685714286,0.214285714,0.935714286,10.74338624,91.42357937,8.509754494,0.316129032,7.171428571,2436.441589,2014.95,25.04,2436.441589,8.15
D4-1,114.5518833,22.58428333,2750.64,0.844,0.537,35.8739,33.4242,25.0634,7.596269885,0.070967742,0.035714286,0.871428571,0.357142857,1.264285714,17.81493506,107.0383484,6.008349061,0.416129032,6.464285714,1925.360293,2022.75,25.41,1925.360293,8.11
D4-2,114.5443,22.57648333,3857.02,0.728,2.161,25.1295,33.422,25.1895,8.875479978,0.129032258,0.092857143,1.542857143,0.714285714,2.35,18.2125,68.78496983,3.776799991,0.341935484,8.735714286,965.6310536,2045.97,25.514,965.631054,8.09
N18,114.5592,22.59121667,1822.54,0.807,0.611,-14.13587,33.4001,25.2131,7.664289632,0.070967742,0.028571429,0.892857143,0.5,1.421428571,20.02922078,107.9968085,5.391962556,0.406451613,7.021428571,1616.388621,2025.63,25.506,1616.388621,8.13
D2-2,114.6025333,22.6099,4262.28,0.883,0.745,62.43315,33.3634,25.3982,8.642896325,0.1,0.05,3.064285714,0.285714286,3.4,34,86.42896325,2.542028331,0.290322581,9,881.2963286,2026.24,26.212,881.296329,8.12
D3-1,114.5765833,22.59133333,2401.24,1.02,0.708,6.64678,33.4037,25.4225,8.014262205,0.080645161,0.042857143,0.871428571,0.214285714,1.128571429,13.99428571,99.37685134,7.101244992,0.403225806,11.15,1365.128164,2026.65,25.686,1365.128164,8.25
